"LD1_TIP";"LD1_VOL";"LD1_SEQ";"LD1_DSN";"LD1_FLG";"LD1_CRDT";"LD1_EXDT";"LD1_CRID";"LD1_DIAS";"LD1_URET";"LD1_FILLER";"LD1_DEVC";"LD1_DEVN";"LD1_DSC";"LD1_FSQ";"LD1_VSQ";"FILLER_X_100"
"0x10";"GFS000";"0x0001";"F.AFMIVP28.G0001V00                         ";"0x00";"0x0119220C000000";"0x0F0034270FC400";"0x0000";"0x0000";"�";"0x048083F3F5";"90-1";"0x4040000000000000";"0x0000000000000000000000000000000000000000000000000000000000000000000000000000000100010000";"0x0000";"  ";"0x404040404040C9C3C6C3C1E3F1E74BC1C6D44BE2F0F14040404040404040404040404040404040404040404040404040404000010105457F0001000000004040404040404040404040400000000100010001000200000000000000000000000000000000000000000000000000000000"
"0x10";"GF0111";"0x0001";"TESTE.SCRXCF.GFSB.F005                      ";"0x00";"0x0116181F000000";"0x0F0052270FC400";"0x0000";"0x0000";"�";"0x048081F3F4";"90  ";"0x4040000000000000";"0x0000000000000000000000000000000000000000000000000000000000000000000000000000000100010000";"0x0000";"TE";"0xE2E3D4C6F140C3C1E3C1D3D6C74BE3C5E2E3C5C3C1E34BE2F0F040404040404040404040404040404040404040404040404000010175036F0000000000004040404040404040404040400000000000000000000000000000000000000000000000000000000000000000000000000000"
"0x10";"GF0116";"0x0001";"TESTE.SCRXCF.GFSB.F006                      ";"0x00";"0x0116181F000000";"0x0F0052270FC400";"0x0000";"0x0000";"�";"0x048081F3F4";"90  ";"0x4040000000000000";"0x0000000000000000000000000000000000000000000000000000000000000000000000000000000100010000";"0x0000";"TE";"0xE2E3D4C6F140C3C1E3C1D3D6C74BE3C5E2E3C5C3C1E34BE2F0F040404040404040404040404040404040404040404040404000010175408F0000000000004040404040404040404040400000000000000000000000000000000000000000000000000000000000000000000000000000"
"0x10";"GF0124";"0x0001";"TESTE.SCRXCF.GFSB.F007                      ";"0x00";"0x0116182F000000";"0x0F0052270FC400";"0x0000";"0x0000";"�";"0x048081F3F4";"90  ";"0x4040000000000000";"0x0000000000000000000000000000000000000000000000000000000000000000000000000000000100010000";"0x0000";"TE";"0xE2E3D4C6F140C3C1E3C1D3D6C74BE3C5E2E3C5C3C1E34BE2F0F040404040404040404040404040404040404040404040404000010095836F0000000000004040404040404040404040400000000000000000000000000000000000000000000000000000000000000000000000000000"
"0x10";"GF0125";"0x0001";"TESTE.SCRXCF.GFSB.F008                      ";"0x00";"0x0116182F000000";"0x0F0052270FC400";"0x0000";"0x0000";"�";"0x048081F3F4";"90  ";"0x4040000000000000";"0x0000000000000000000000000000000000000000000000000000000000000000000000000000000100010000";"0x0000";"TE";"0xE2E3D4C6F140C3C1E3C1D3D6C74BE3C5E2E3C5C3C1E34BE2F0F040404040404040404040404040404040404040404040404000010104400F0000000000004040404040404040404040400000000000000000000000000000000000000000000000000000000000000000000000000000"
"0x10";"GF0129";"0x0001";"TESTE.SCRXCF.GFSB.F001                      ";"0x00";"0x0116173F000000";"0x0F0052270FC400";"0x0000";"0x0000";"�";"0x048081F3F4";"90  ";"0x4040000000000000";"0x0000000000000000000000000000000000000000000000000000000000000000000000000000000100010000";"0x0000";"TE";"0xE2E3D4C6F140C3C1E3C1D3D6C74BE3C5E2E3C5C3C1E34BE2F0F040404040404040404040404040404040404040404040404000010104122F0000000000004040404040404040404040400000000000000000000000000000000000000000000000000000000000000000000000000000"
"0x10";"GF0130";"0x0001";"TESTE.SCRXCF.GFSB.F009                      ";"0x00";"0x0116182F000000";"0x0F0052270FC400";"0x0000";"0x0000";"�";"0x048081F3F4";"90  ";"0x4040000000000000";"0x0000000000000000000000000000000000000000000000000000000000000000000000000000000100010000";"0x0000";"TE";"0xE2E3D4C6F140C3C1E3C1D3D6C74BE3C5E2E3C5C3C1E34BE2F0F040404040404040404040404040404040404040404040404000010111424F0000000000004040404040404040404040400000000000000000000000000000000000000000000000000000000000000000000000000000"
"0x10";"GF0131";"0x0001";"TESTE.SCRXCF.GFSB.F010                      ";"0x00";"0x0116182F000000";"0x0F0052270FC400";"0x0000";"0x0000";"�";"0x048081F3F4";"90  ";"0x4040000000000000";"0x0000000000000000000000000000000000000000000000000000000000000000000000000000000100010000";"0x0000";"TE";"0xE2E3D4C6F140C3C1E3C1D3D6C74BE3C5E2E3C5C3C1E34BE2F0F040404040404040404040404040404040404040404040404000010114322F0000000000004040404040404040404040400000000000000000000000000000000000000000000000000000000000000000000000000000"
"0x10";"GF0132";"0x0001";"TESTE.SCRXCF.GFSB.F011                      ";"0x00";"0x0116182F000000";"0x0F0052270FC400";"0x0000";"0x0000";"�";"0x048081F3F4";"90  ";"0x4040000000000000";"0x0000000000000000000000000000000000000000000000000000000000000000000000000000000100010000";"0x0000";"TE";"0xE2E3D4C6F140C3C1E3C1D3D6C74BE3C5E2E3C5C3C1E34BE2F0F040404040404040404040404040404040404040404040404000010141622F0000000000004040404040404040404040400000000000000000000000000000000000000000000000000000000000000000000000000000"
"0x10";"GF0133";"0x0001";"TESTE.SCRXCF.GFSB.F012                      ";"0x00";"0x0116182F000000";"0x0F0052270FC400";"0x0000";"0x0000";"�";"0x048081F3F4";"90  ";"0x4040000000000000";"0x0000000000000000000000000000000000000000000000000000000000000000000000000000000100010000";"0x0000";"TE";"0xE2E3D4C6F140C3C1E3C1D3D6C74BE3C5E2E3C5C3C1E34BE2F0F040404040404040404040404040404040404040404040404000010144057F0000000000004040404040404040404040400000000000000000000000000000000000000000000000000000000000000000000000000000"
